,ENP Alger,ENP Oran,ENSH Blida,ESTI Annaba,ENSERDD Batna,ESSA Tlemcen,ENP Constantine,ENSTP Kouba,ENST Alger,ESGEE Oran,ESSA Alger,HORS ECOLE,ENSMM Annaba
ENP Alger,73.29842932,2.469135802,10.37735849,8.641975309,4.301075269,1.62601626,3.921568627,35.5704698,5.555555556,4.615384615,28.30188679,2.105263158,11.84210526
ESSA Alger,8.376963351,0.617283951,4.245283019,4.938271605,,0.81300813,5.882352941,4.026845638,10.18518519,0.769230769,18.86792453,6.315789474,5.263157895
ENSH Blida,6.282722513,6.790123457,41.03773585,0.617283951,6.451612903,8.130081301,2.941176471,2.013422819,6.481481481,6.923076923,0.943396226,23.15789474,1.315789474
ENP Constantine,3.141361257,,4.245283019,12.96296296,6.451612903,0.81300813,59.80392157,,0.925925926,,3.773584906,2.105263158,14.47368421
ENST Alger,2.617801047,0.617283951,12.73584906,10.49382716,4.301075269,7.317073171,3.921568627,12.08053691,52.77777778,0.769230769,35.8490566,4.210526316,19.73684211
ENSTP Kouba,2.094240838,0.617283951,8.962264151,1.851851852,1.075268817,4.87804878,,40.26845638,6.481481481,0.769230769,6.603773585,6.315789474,1.315789474
ENP Oran,1.570680628,74.07407407,7.547169811,5.555555556,,12.19512195,8.823529412,4.026845638,5.555555556,35.38461538,2.830188679,16.84210526,1.315789474
ENSERDD Batna,1.570680628,1.851851852,1.886792453,4.320987654,69.89247312,4.87804878,11.76470588,,4.62962963,4.615384615,2.830188679,5.263157895,3.947368421
ESTI Annaba,0.523560209,,,42.59259259,2.150537634,0.81300813,0.980392157,,,,,14.73684211,14.47368421
ESSA Tlemcen,0.523560209,3.086419753,2.358490566,,,52.03252033,,1.342281879,0.925925926,2.307692308,,2.105263158,
ESGEE Oran,,8.024691358,6.603773585,,1.075268817,3.25203252,,0.67114094,4.62962963,40.76923077,,7.368421053,1.315789474
ENSMM Annaba,,1.851851852,,8.024691358,4.301075269,3.25203252,1.960784314,,1.851851852,3.076923077,,9.473684211,25
